bitstring,count
010111100110,299.0
010111101001,13.0
010111101011,14.0
010111101100,275.0
010111101110,292.0
010111110010,2.0
010111110111,1.0
010111111111,1.0
011000000001,270.0
011000000011,277.0
011000000100,7121.0
011000000110,6893.0
011000001001,280.0
011000001011,269.0
011000001100,6984.0
011000001110,7089.0
011000010101,11.0
011000010111,13.0
011000011101,14.0
011000011111,11.0
011000100001,281.0
011000100011,240.0
011000100100,6847.0
011000100110,6984.0
011000101001,286.0
011000101011,283.0
011000101100,6958.0
011000101110,7013.0
011000110101,15.0
011000110111,13.0
011000111101,12.0
011000111111,18.0
011001000000,295.0
011001000010,288.0
011001001000,319.0
011001001010,268.0
011001010001,333.0
011001010011,286.0
011001010100,7062.0
011001010110,7021.0
011001011001,313.0
011001011011,313.0
011001011100,6881.0
011001011110,6825.0
011001100000,299.0
011001100010,282.0
011001101000,253.0
011001101010,279.0
011001110001,313.0
011001110011,292.0
011001110100,7029.0
011001110110,7229.0
011001111001,320.0
011001111011,319.0
011001111100,7070.0
011001111110,7031.0
011010000001,263.0
011010000011,290.0
011010000100,7014.0
011010000110,7041.0
011010001001,308.0
011010001011,261.0
011010001100,6992.0
011010001110,6831.0
011010010101,7.0
011010010111,6.0
011010011101,11.0
011010011111,9.0
011010100001,286.0
011010100011,268.0
011010100100,6940.0
011010100110,6976.0
011010101001,296.0
011010101011,312.0
011010101100,6899.0
011010101110,7038.0
011010110101,15.0
011010110111,12.0
011010111101,7.0
011010111111,12.0
011011000000,280.0
011011000010,292.0
011011001000,282.0
011011001010,287.0
011011010001,297.0
011011010011,274.0
011011010100,7144.0
011011010110,7096.0
011011011001,307.0
011011011011,309.0
011011011100,6859.0
011011011110,6800.0
011011100000,291.0
011011100010,285.0
011011101000,283.0
011011101010,294.0
011011110001,288.0
011011110011,293.0
011011110100,6937.0
011011110110,7030.0
011011111001,289.0
011011111011,325.0
011011111100,6880.0
011011111110,7001.0
011100000010,2.0
011100100000,1.0
011100100010,1.0
011100101000,3.0
011101000001,11.0
011101000011,15.0
011101000100,298.0
011101000110,311.0
011101001001,7.0
011101001011,14.0
011101001100,326.0
011101001110,282.0
011101011010,1.0
011101011101,1.0
011101100001,3.0
011101100011,15.0
011101100100,294.0
011101100110,300.0
011101101001,13.0
011101101011,22.0
011101101100,315.0
011101101110,283.0
011101110010,1.0
011110000010,1.0
011110101000,1.0
011110101010,1.0
011111000001,17.0
011111000011,11.0
011111000100,311.0
011111000110,271.0
011111001001,14.0
011111001011,9.0
011111001100,281.0
011111001110,285.0
011111010101,1.0
011111011010,2.0
011111011111,1.0
011111100001,9.0
011111100011,12.0
011111100100,292.0
011111100110,292.0
011111101001,17.0
011111101011,10.0
011111101100,276.0
011111101110,296.0
011111110000,1.0
011111110101,1.0
011111110111,1.0
011111111010,1.0
100000000101,299.0
100000000111,297.0
100000001101,301.0
100000001111,296.0
100000010100,10.0
100000010110,7.0
100000011011,1.0
100000011100,14.0
100000011110,17.0
100000100000,2.0
100000100010,1.0
100000100101,272.0
100000100111,310.0
100000101000,1.0
100000101101,306.0
100000101111,303.0
100000110011,1.0
100000110100,13.0
100000110110,12.0
100000111011,1.0
100000111100,14.0
100000111110,13.0
100001000001,7.0
100001000011,14.0
100001001001,13.0
100001001011,18.0
100001010101,264.0
100001010111,293.0
100001011101,273.0
100001011111,299.0
100001100001,12.0
100001100011,10.0
100001101001,14.0
100001101011,14.0
100001110101,307.0
100001110111,299.0
100001111101,304.0
100001111111,256.0
100010000101,270.0
100010000111,299.0
100010001010,1.0
100010001101,295.0
100010001111,270.0
100010010100,8.0
100010010110,15.0
100010011001,1.0
100010011011,1.0
100010011100,10.0
100010011110,12.0
100010100010,1.0
100010100101,296.0
100010100111,284.0
100010101101,319.0
100010101111,262.0
100010110011,2.0
100010110100,14.0
100010110110,12.0
100010111100,12.0
100010111110,9.0
100011000001,15.0
100011000011,8.0
100011001001,18.0
100011001011,7.0
100011010101,270.0
100011010111,292.0
100011011101,310.0
100011011111,322.0
100011100001,15.0
100011100011,10.0
100011101001,12.0
100011101011,11.0
100011110101,302.0
100011110111,274.0
100011111101,273.0
100011111111,283.0
100100000001,11.0
100100000011,11.0
100100000100,308.0
100100000110,347.0
100100001001,9.0
100100001011,14.0
100100001100,316.0
100100001110,289.0
100100010101,1.0
100100010111,3.0
100100011101,1.0
100100011111,1.0
100100100001,11.0
100100100011,15.0
100100100100,303.0
100100100110,314.0
100100101001,13.0
100100101011,9.0
100100101100,334.0
100100101110,331.0
100100111101,1.0
100100111111,2.0
100101000000,10.0
100101000010,13.0
100101000101,8.0
100101000111,19.0
100101001000,16.0
100101001010,7.0
100101001101,14.0
100101001111,13.0
100101010001,19.0
100101010011,16.0
100101010100,284.0
100101010110,271.0
100101011001,13.0
100101011011,10.0
100101011100,282.0
100101011110,288.0
100101100000,8.0
100101100010,10.0
100101100101,10.0
100101100111,5.0
100101101000,14.0
100101101010,7.0
100101101101,16.0
100101101111,9.0
100101110001,9.0
100101110011,5.0
100101110100,291.0
100101110110,322.0
100101111001,11.0
100101111011,10.0
100101111100,279.0
100101111110,285.0
100110000001,17.0
100110000011,12.0
100110000100,320.0
100110000110,315.0
100110001001,8.0
100110001011,4.0
100110001100,322.0
100110001110,281.0
100110010101,3.0
100110010111,2.0
100110100001,18.0
100110100011,13.0
100110100100,289.0
100110100110,292.0
100110101001,10.0
100110101011,13.0
100110101100,300.0
100110101110,294.0
100111000000,9.0
100111000010,7.0
100111000101,9.0
100111000111,12.0
100111001000,13.0
100111001010,5.0
100111001101,4.0
100111001111,12.0
100111010001,14.0
100111010011,15.0
100111010100,309.0
100111010110,291.0
100111011001,13.0
100111011011,10.0
100111011100,284.0
100111011110,286.0
100111100000,17.0
100111100010,14.0
100111100101,9.0
100111100111,12.0
100111101000,9.0
100111101010,10.0
100111101101,16.0
100111101111,8.0
100111110001,8.0
100111110011,11.0
100111110100,258.0
100111110110,295.0
100111111001,19.0
100111111011,13.0
100111111100,313.0
100111111110,298.0
101000000000,1.0
101000000010,3.0
101000000101,301.0
101000000111,292.0
101000001101,279.0
101000001111,251.0
101000010001,2.0
101000010100,11.0
101000010110,6.0
101000011100,13.0
101000011110,17.0
101000100010,1.0
101000100101,313.0
101000100111,287.0
101000101010,1.0
101000101101,272.0
101000101111,306.0
101000110001,1.0
101000110100,12.0
101000110110,11.0
101000111001,1.0
101000111100,11.0
101000111110,14.0
101001000001,8.0
101001000011,7.0
101001001001,17.0
101001001011,13.0
101001010101,316.0
101001010111,290.0
101001011101,309.0
101001011111,283.0
101001100001,14.0
101001100011,11.0
101001101001,11.0
101001101011,12.0
101001110101,310.0
101001110111,286.0
101001111101,276.0
101001111111,285.0
101010000000,1.0
